NOTE  |Author: NavySeals -Drasticly tweak by Cat Ver. 3
NOTE  |Immortal Bowler Attack ,
NOTE  |Make Troops: 22-28Bowlers," 4-6healers, 4-12Giants(opt), 2-JSpells (opt), 1PSpell, 3Rage"
      |EXTR. GOLD |EXTR.ELIXIR|EXTR. DARK |DEPO. GOLD |DEPO.ELIXIR|DEPO. DARK |TOWNHALL   |FORCED SIDE|,
SIDE  |0          |0          |0          |0          |0          |0          |10         |           |,
      |VECTOR_____|SIDE_______|DROP_POINTS|ADDTILES___|VERSUS_____|RANDOMX_PX_|RANDOMY_PX_|___________|,
MAKE  |N          |FRONT-LEFT |10         |2          |INT-EXT    |0          |1          |           |,was 6
MAKE  |A          |FRONT-RIGHT|10         |2          |INT-EXT    |0          |1          |           |,was 6
MAKE  |V          |FRONT-LEFT |10         |5          |INT-EXT    |2          |1          |           |,
MAKE  |Y          |FRONT-RIGHT|10         |5          |INT-EXT    |1          |2          |           |,
MAKE  |F          |FRONT-LEFT |10         |2          |INT-EXT    |0          |1          |           |,
MAKE  |G          |FRONT-RIGHT|10         |2          |INT-EXT    |0          |1          |           |,
MAKE  |I          |FRONT-LEFT |10         |-7         |INT-EXT    |0          |0          |           |,
MAKE  |J          |FRONT-RIGHT|10         |-8         |INT-EXT    |0          |0          |           |,
MAKE  |S          |FRONT-LEFT |10         |-4         |INT-EXT    |0          |0          |           |,
MAKE  |E          |FRONT-LEFT |10         |-11        |INT-EXT    |0          |0          |           |,
MAKE  |K          |FRONT-LEFT |10         |-11        |INT-EXT    |0          |0          |           |,
MAKE  |L          |FRONT-LEFT |10         |-10        |INT-EXT    |0          |0          |           |,
      |VECTOR_____|INDEX______|QTY_X_VECT_|TROOPNAME__|DELAY_DROP_|DELAYCHANGE|SLEEPAFTER_|           |,
DROP  |N          |1          |1          |Giant      |0          |0          |33-66      |           |,
DROP  |K          |1          |5          |Espell     |333-500    |0          |166-200    |           |,
DROP  |S          |1          |1          |Jspell     |16         |0          |166-200    |           |,
DROP  |E          |1          |1          |Jspell     |16         |0          |166-200    |           |,
DROP  |N          |7-9        |3          |Bowl       |0          |0          |333-500    |           |,
DROP  |V          |7-9        |1          |Heal       |0          |0          |16-33      |           |,
DROP  |A          |7-9        |3          |Bowl       |0          |0          |333-500    |           |,
DROP  |Y          |7-9        |1          |Heal       |0          |0          |16-33      |           |,
WAIT  |1800-2200  |           |           |           |           |           |           |           |,
DROP  |N          |1          |1          |RSpell     |0          |0          |0          |           |,
DROP  |N          |1          |1          |castle     |0          |0          |33-100     |           |,
DROP  |N          |1-2        |12         |Giant      |0          |0          |33-66      |           |,
DROP  |N-A        |1-3        |10         |Bowl       |0          |0          |3-16       |           |,
DROP  |N-A        |1-3        |18         |Bowl       |0          |0          |16-33      |           |,
DROP  |N          |1          |1          |King       |0          |0          |0          |           |,
DROP  |N          |1          |1          |Queen      |0          |0          |0          |           |,
DROP  |V-Y        |1-6        |4          |Heal       |0          |0          |16-33      |           |,
DROP  |V-Y        |1-6        |8          |Heal       |0          |0          |16-33      |           |,
DROP  |N          |1          |1          |Warden     |0          |0          |66-133     |           |,
WAIT  |2100-4000  |           |           |           |           |           |           |           |,
DROP  |I          |2-3        |1          |RSpell     |0          |0          |33-66      |           |,
DROP  |J          |2-3        |1          |RSpell     |0          |0          |1000-1600  |           |,
DROP  |K          |1          |1          |PSpell     |0          |0          |66-100     |           |,
DROP  |N          |1          |1          |Warden     |0          |0          |0          |           |,
DROP  |F-G        |1-2        |4          |Wall       |0          |0          |0          |           |,
DROP  |F-G        |1-2        |8          |Wall       |0          |0          |0          |           |,
WAIT  |4000-6000  |           |           |           |           |           |           |           |,
WAIT  |4000-5500  |           |           |           |           |           |           |           |,
DROP  |N-A        |1-8        |40         |arch       |50         |0          |10-20      |           |,
,
,
