NOTE  |Author: v1.1.1 by Chack++
NOTE  |[01.01.2020] External Edges, Heroes on Sides
NOTE  |TH 11 ***
NOTE  |Train: 10 Bowlers, 9 Witches, 6 Ice Golem, 2 Arch, 2 Rage, 7 Bat in CC 1 Rage IceG GG Pekka
NOTE  |TH 12~13
NOTE  |Train: 13 Bowlers, 9 Witches, 6 Ice Golem, 1 Wizard, 2 Rage, 7 Bat in CC 1 Rage IceG GG Pekka
NOTE  |
NOTE  |Script work on "EXTERNAL EDGES"
      |                                                                                                                       |
      |---------------------------------------------------IceBoWitch Start----------------------------------------------------|
      |                                                   Chack++                                                             |
      |                                                                                                                       |
      |_TROOPNAME_|__FLEXIBLE_|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|
TRAIN |Bowl       |0          |0          |0          |0          |0          |0          |10         |13         |13         |
TRAIN |Witc       |0          |0          |0          |0          |0          |0          |9          |9          |9          |
TRAIN |IceG       |0          |0          |0          |0          |0          |0          |6          |6          |6          |
TRAIN |Wiza       |0          |0          |0          |0          |0          |0          |0          |1          |1          |
TRAIN |Arch       |0          |0          |0          |0          |0          |0          |2          |0          |0          |
      |                                                                                                                       |
TRAIN |RSpell     |0          |0          |0          |0          |0          |0          |2          |2          |2          |
TRAIN |BSpell     |0          |0          |0          |0          |0          |0          |7          |7          |7          |
TRAIN |FSpell     |0          |0          |0          |0          |0          |0          |1          |3          |3          | 
      |                                                                                                                       |
      |_TROOPNAME_|___________|____TH06___|____TH07___|____TH08___|____TH09___|____TH10___|____TH11___|____TH12___|____TH13___|
TRAIN |King       |0          |0          |0          |0          |0          |0          |1          |1          |1          |
TRAIN |Queen      |0          |0          |0          |0          |0          |0          |1          |1          |1          |
TRAIN |Warden     |0          |0          |0          |0          |0          |0          |1          |1          |1          |
TRAIN |Champion   |0          |0          |0          |0          |0          |0          |0          |0          |1          |
      |                                                                                                                       |
